Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E1,24/04/18,Derby,Cardiff,,,,,,,2.89,3.29,2.62,2.8,3.2,2.6,2.75,3.15,2.5,2.8,3.2,2.55,2.85,3.38,2.64,2.88,3.1,2.62,2.9,3.4,2.6,37,2.95,2.81,3.4,3.24,2.66,2.56,32,2.12,2.05,1.83,1.74,16,0,2.06,2.01,1.89,1.83
E1,24/04/18,Nott'm Forest,Barnsley,,,,,,,2.7,3.5,2.7,2.55,3.3,2.65,2.55,3.35,2.55,2.62,3.4,2.55,2.69,3.56,2.68,2.62,3.4,2.6,2.7,3.5,2.7,37,2.75,2.63,3.58,3.39,2.75,2.61,34,1.88,1.79,2.09,2,15,0,1.99,1.93,1.96,1.91
E2,24/04/18,Bradford,Milton Keynes Dons,,,,,,,2.29,3.75,3.1,2.25,3.5,2.95,2.15,3.25,3,2.25,3.25,3.2,2.26,3.72,3.14,2.2,3.5,3.1,2.25,3.5,3.2,39,2.3,2.24,3.75,3.43,3.3,3.07,38,2.07,1.96,1.9,1.8,19,-0.25,1.98,1.93,1.95,1.89
E2,24/04/18,Bristol Rvs,Wigan,,,,,,,6.5,4.2,1.57,5.75,3.7,1.6,5.4,3.75,1.53,6,4,1.57,6.25,4.13,1.59,6,4,1.55,6,4.2,1.57,39,6.5,5.78,4.2,3.95,1.6,1.56,38,1.91,1.83,2.04,1.94,18,1,1.95,1.86,2.02,1.95
E2,24/04/18,Doncaster,Blackburn,,,,,,,5.25,4,1.7,4.5,3.6,1.75,4.45,3.4,1.67,4.8,3.5,1.72,5.05,3.79,1.76,4.8,3.6,1.75,5,3.8,1.73,39,5.25,4.71,4,3.61,1.8,1.73,35,2.1,1.99,1.85,1.78,18,0.75,1.95,1.87,2,1.94
E2,24/04/18,Oldham,Southend,,,,,,,1.9,3.89,4,1.87,3.5,4,1.83,3.4,3.7,1.9,3.4,4,1.95,3.75,3.98,1.91,3.5,4,1.91,3.7,4.1,39,1.95,1.9,3.89,3.52,4.15,3.93,38,2.06,1.95,1.88,1.81,17,-0.5,1.95,1.9,1.98,1.93
E2,24/04/18,Rochdale,Plymouth,,,,,,,1.9,3.6,4.5,1.87,3.4,4.1,1.85,3.25,3.85,1.95,3.3,4,1.95,3.5,4.3,1.91,3.4,4.2,1.95,3.6,4,39,2,1.91,3.6,3.41,4.5,4.02,36,2.11,2.03,1.81,1.75,17,-0.5,1.95,1.91,1.99,1.92
E2,24/04/18,Shrewsbury,Peterboro,,,,,,,2.45,3.39,3.1,2.25,3.3,3.1,2.3,3.1,2.8,2.4,3.25,2.9,2.49,3.4,2.99,2.38,3.4,2.9,2.5,3.4,2.9,39,2.5,2.36,3.4,3.28,3.15,2.98,38,2.05,1.97,1.87,1.79,19,-0.25,2.19,2.06,1.9,1.78
E3,24/04/18,Coventry,Lincoln,,,,,,,2.6,3.25,3,2.5,3.1,2.85,2.5,2.9,2.7,2.7,3,2.8,2.76,3.13,2.88,2.62,3,2.88,2.7,3.25,2.8,41,2.76,2.6,3.25,3.04,3,2.82,35,2.6,2.45,1.55,1.51,19,-0.25,2.3,2.21,1.73,1.66
E3,24/04/18,Morecambe,Cambridge,,,,,,,2.29,3.5,3.25,2.25,3.4,3,2.15,3.2,3,2.25,3.25,3.2,2.32,3.61,3.1,2.3,3.3,3.1,2.25,3.5,3.3,41,2.4,2.26,3.61,3.33,3.3,3.09,38,2.07,2,1.83,1.76,21,-0.25,2,1.93,1.96,1.88
E3,24/04/18,Newport County,Accrington,,,,,,,3.6,3.5,2.14,3.3,3.3,2.15,3.25,3.2,2.05,3.4,3.3,2.15,3.42,3.56,2.19,3.4,3.3,2.15,3.5,3.5,2.15,41,3.6,3.38,3.56,3.35,2.19,2.1,40,2.04,1.96,1.91,1.81,17,0.5,1.81,1.75,2.18,2.08
E3,24/04/18,Yeovil,Forest Green,,,,,,,3.1,2.89,2.79,2.9,2.75,2.75,2.85,2.65,2.6,2.8,2.87,2.6,3.11,2.81,2.92,3.1,2.8,2.62,2.9,2.9,2.63,41,3.25,2.96,2.9,2.78,2.92,2.69,37,2.25,2.14,1.74,1.67,17,0,2.06,1.99,1.91,1.83
EC,24/04/18,Bromley,Barrow,,,,,,,2,3.5,3.6,1.95,3.4,3.5,1.9,3.3,3.35,2,3.4,3.5,2.01,3.74,3.76,2,3.75,3.4,2,3.6,3.6,35,2.05,1.96,3.75,3.51,3.76,3.49,34,1.86,1.78,2.07,1.97,14,-0.5,2.03,1.96,1.89,1.83
EC,24/04/18,Gateshead,Ebbsfleet,,,,,,,4,3.5,1.9,3.6,3.3,1.95,3.55,3.2,1.85,3.7,3.3,1.95,3.94,3.58,1.99,3.75,3.4,2,3.8,3.5,1.95,33,4,3.67,3.61,3.38,2.05,1.95,30,2.03,1.98,1.85,1.77,13,0.25,2.22,2.14,1.75,1.69
EC,24/04/18,Leyton Orient,Maidenhead,,,,,,,1.8,3.39,4.75,1.9,3.5,3.6,1.75,3.4,3.7,1.83,3.5,3.9,1.87,3.84,4.28,1.85,3.75,4,1.8,3.75,4.2,35,1.91,1.83,3.84,3.54,4.75,4,33,1.83,1.76,2.08,2,16,-0.5,1.87,1.82,2.05,1.98
EC,24/04/18,Torquay,Guiseley,,,,,,,1.5,4.33,6,1.6,3.9,4.75,1.5,3.85,4.9,1.57,3.9,5.25,1.6,4.29,5.84,1.62,4.2,5,1.55,4.2,5.75,33,1.62,1.55,4.33,4.03,6,5.3,28,1.74,1.67,2.16,2.11,13,-0.75,1.75,1.69,2.2,2.15
EC,24/04/18,Tranmere,Solihull,,,,,,,1.75,3.6,4.75,1.72,3.5,4.5,1.7,3.4,4.15,1.75,3.4,4.33,1.79,3.81,4.75,1.75,3.75,4.5,1.73,3.7,4.75,35,1.8,1.74,3.81,3.57,4.89,4.43,33,1.98,1.88,1.94,1.87,16,-0.75,2.06,1.98,1.9,1.82
F1,25/04/18,Caen,Toulouse,,,,,,,2.6,2.87,3.2,2.5,2.9,3.3,2.5,2.8,3.1,2.5,2.87,3.1,2.64,2.85,3.28,2.5,2.88,3.2,2.55,2.9,3.3,41,2.65,2.52,3.05,2.88,3.31,3.18,35,2.65,2.52,1.57,1.5,18,-0.25,2.15,2.1,1.82,1.77
F2,24/04/18,Auxerre,Reims,,,,,,,3.25,3.1,2.29,2.9,3.2,2.35,2.95,3.1,2.35,2.9,3.1,2.35,3.2,3.17,2.48,3.1,3.2,2.2,3.13,3.13,2.4,39,3.25,3,3.31,3.15,2.48,2.35,37,2.2,2.08,1.78,1.71,17,0.25,1.84,1.79,2.11,2.04
F2,24/04/18,Brest,Clermont,,,,,,,2.1,3.25,3.5,2.2,3.2,3.2,2.15,3.3,3.15,2.15,3.3,3.1,2.23,3.44,3.43,2.3,3.25,2.88,2.2,3.3,3.4,39,2.3,2.2,3.44,3.26,3.5,3.17,39,1.92,1.84,2.03,1.92,19,-0.25,1.98,1.91,1.98,1.91
F2,24/04/18,Le Havre,Nancy,,,,,,,2.25,3.2,3.29,2.3,3.1,3.1,2.25,3.15,3.15,2.25,3.1,3.1,2.38,3.28,3.28,2.1,3.2,3.3,2.3,3.13,3.3,39,2.38,2.24,3.3,3.14,3.46,3.21,37,2.2,2.11,1.76,1.69,19,-0.25,2.03,1.96,1.96,1.86
F2,24/04/18,Nimes,Lorient,,,,,,,1.75,3.6,4.75,1.8,3.5,4.2,1.75,3.55,4.3,1.75,3.6,4.2,1.81,3.74,4.77,1.8,3.5,4,1.8,3.6,4.6,39,1.85,1.78,3.79,3.56,4.77,4.26,37,1.81,1.75,2.1,2.02,16,-0.75,2.06,2,1.87,1.81
