Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,hTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
D1,27/04/18,Hoffenheim,Hannover,,,,,,,1.28,6,9.5,1.3,5.75,9,1.3,5.5,9.5,1.28,5.75,10,1.3,6.43,9.91,1.3,6,8,1.29,6,10.5,41,1.32,1.29,6.5,5.99,10.6,9.58,35,1.39,1.35,3.5,3.18,20,-1.75,1.99,1.94,1.96,1.91
D1,28/04/18,Bayern Munich,Ein Frankfurt,,,,,,,1.6,4.33,5.25,1.62,4.2,5.25,1.7,4.2,4.3,1.61,4,5.2,1.62,4.25,5.84,1.67,4,4.75,1.65,4.33,5.2,41,1.7,1.63,4.33,4.13,5.84,5.19,37,1.71,1.64,2.35,2.24,21,-0.75,1.83,1.79,2.15,2.08
D1,28/04/18,Freiburg,FC Koln,,,,,,,2.1,3.39,3.6,2.05,3.5,3.6,2,3.5,3.7,2.1,3.25,3.5,2.15,3.56,3.58,2.05,3.4,3.6,2.15,3.4,3.6,41,2.2,2.11,3.63,3.42,3.7,3.54,38,2.12,2.03,1.83,1.77,19,-0.25,1.86,1.82,2.08,2.03
D1,28/04/18,Hertha,Augsburg,,,,,,,2.04,3.25,3.79,2.15,3.3,3.6,2.1,3.4,3.5,2.1,3.3,3.5,2.09,3.58,3.74,2.15,3.3,3.4,2.15,3.4,3.6,42,2.17,2.09,3.58,3.39,3.8,3.6,40,2.1,2.01,1.88,1.8,21,-0.25,1.86,1.81,2.12,2.05
D1,28/04/18,Leverkusen,Stuttgart,,,,,,,1.39,4.75,8,1.42,4.75,7.5,1.45,4.5,7,1.4,4.6,7.5,1.43,4.98,8.07,1.44,4.2,7.5,1.44,4.8,7.5,42,1.45,1.41,5.09,4.78,8.3,7.5,38,1.6,1.54,2.6,2.44,20,-1.25,1.94,1.9,2,1.96
D1,28/04/18,Schalke 04,M'gladbach,,,,,,,1.85,3.6,4.2,1.87,3.5,4.33,1.85,3.6,4.2,1.83,3.6,4.2,1.88,3.73,4.49,1.85,3.75,4,1.85,3.75,4.4,42,1.91,1.86,3.82,3.65,4.49,4.21,41,1.91,1.84,2.04,1.96,20,-0.5,1.88,1.84,2.08,2.02
D1,28/04/18,Wolfsburg,Hamburg,,,,,,,2.2,3.39,3.29,2.2,3.25,3.5,2.3,3.5,3,2.2,3.1,3.4,2.26,3.38,3.48,2.25,3.2,3.2,2.25,3.4,3.4,42,2.32,2.23,3.5,3.28,3.6,3.38,38,2.28,2.2,1.73,1.66,22,-0.25,1.97,1.92,2.01,1.94
D1,29/04/18,Mainz,RB Leipzig,,,,,,,3.75,3.39,2.04,3.3,3.5,2.15,3.2,3.5,2.2,3.4,3.4,2.05,3.66,3.65,2.1,3.5,3.2,2.15,3.5,3.5,2.15,41,3.75,3.46,3.65,3.51,2.2,2.1,40,1.87,1.81,2.07,2,20,0.25,2.1,2.05,1.86,1.82
D1,29/04/18,Werder Bremen,Dortmund,,,,,,,3.79,3.75,1.9,3.75,3.7,1.95,3.8,3.4,2,3.6,3.7,1.9,3.76,3.86,2,3.75,3.3,2,3.7,3.9,1.95,42,3.82,3.66,3.9,3.74,2.04,1.96,37,1.62,1.57,2.54,2.38,19,0.5,1.96,1.92,2,1.94
D2,27/04/18,Bielefeld,Kaiserslautern,,,,,,,1.7,3.6,4.75,1.75,3.9,4.25,1.65,3.7,4.9,1.7,3.8,4.33,1.76,4.09,4.64,1.67,4,4.33,1.7,4.1,4.5,40,1.78,1.72,4.2,3.9,4.9,4.35,34,1.62,1.54,2.5,2.39,17,-0.75,1.97,1.9,1.99,1.93
D2,27/04/18,Bochum,Erzgebirge Aue,,,,,,,1.66,3.75,5,1.67,3.8,5,1.7,3.6,4.7,1.66,3.6,4.8,1.71,3.75,5.57,1.67,3.75,4.75,1.7,3.75,5.2,41,1.73,1.68,3.84,3.68,5.65,4.92,40,1.99,1.89,1.96,1.88,17,-0.75,1.93,1.88,2.01,1.95
D2,29/04/18,Darmstadt,Union Berlin,,,,,,,2.29,3.25,3.1,2.3,3.4,3,2.2,3.3,3.1,2.25,3.25,2.9,2.36,3.46,3.15,2.38,3.3,2.8,2.38,3.4,3,41,2.38,2.28,3.5,3.34,3.2,2.98,39,1.93,1.84,2,1.93,16,-0.25,2.06,1.99,1.87,1.84
D2,29/04/18,Dresden,Fortuna Dusseldorf,,,,,,,2.5,3.25,2.79,2.5,3.4,2.7,2.6,3.2,2.6,2.4,3.4,2.65,2.57,3.52,2.8,2.5,3.4,2.6,2.5,3.5,2.75,41,2.6,2.48,3.6,3.37,2.87,2.69,37,1.75,1.69,2.2,2.11,17,0,1.87,1.83,2.06,2
D2,29/04/18,Duisburg,Regensburg,,,,,,,2.29,3.39,3,2.45,3.3,2.85,2.5,3.3,2.65,2.3,3.4,2.8,2.42,3.53,3,2.25,3.6,2.8,2.38,3.6,2.88,39,2.5,2.34,3.61,3.44,3,2.83,36,1.72,1.64,2.28,2.18,17,-0.25,2.09,2.03,1.85,1.81
D2,29/04/18,Heidenheim,Sandhausen,,,,,,,2.45,3.2,2.89,2.4,3.3,2.95,2.2,3.3,3.1,2.45,3.1,2.87,2.57,3.3,2.95,2.38,3.2,2.88,2.45,3.25,3,38,2.57,2.42,3.4,3.21,3.1,2.9,37,2.16,2.05,1.83,1.73,15,0,1.81,1.76,2.3,2.09
D2,29/04/18,Ingolstadt,Holstein Kiel,,,,,,,2.29,3.29,3.1,2.4,3.3,2.95,2.6,3.2,2.6,2.25,3.3,2.9,2.34,3.55,3.11,2.25,3.5,2.88,2.3,3.5,3,37,2.6,2.3,3.55,3.37,3.11,2.95,37,1.82,1.76,2.11,2.01,15,-0.25,2.04,1.99,1.89,1.84
D2,29/04/18,St Pauli,Greuther Furth,,,,,,,2.1,3.29,3.5,2.25,3.3,3.25,2.2,3.3,3.1,2.1,3.2,3.25,2.21,3.45,3.48,2.2,3.3,3.1,2.15,3.4,3.4,42,2.25,2.16,3.45,3.3,3.5,3.28,40,2.04,1.95,1.9,1.82,18,-0.25,1.91,1.86,2.02,1.97
D2,30/04/18,Nurnberg,Braunschweig,,,,,,,1.75,3.5,4.75,1.8,3.5,4.5,1.75,3.5,4.5,,,,1.8,3.84,4.67,1.8,3.5,4.2,1.8,3.7,4.5,36,1.84,1.77,3.84,3.57,4.75,4.41,36,1.93,1.87,1.99,1.89,17,-0.75,2.05,2,1.88,1.82
E0,28/04/18,Burnley,Brighton,,,,,,,2.25,3.2,3.7,2.15,3.1,3.8,2.1,3.2,3.7,2.2,3,3.5,2.28,3.2,3.71,2.2,3.1,3.75,2.25,3.2,3.75,43,2.31,2.22,3.35,3.16,3.8,3.6,39,2.61,2.45,1.6,1.55,22,-0.25,1.94,1.89,2.02,1.97
E0,28/04/18,Crystal Palace,Leicester,,,,,,,2.04,3.6,3.79,2.05,3.3,3.8,2,3.4,3.8,2.05,3.4,3.6,2.08,3.57,3.85,2.1,3.3,3.75,2.1,3.6,3.7,43,2.13,2.05,3.64,3.5,3.85,3.65,42,1.93,1.85,2.02,1.97,20,-0.25,1.83,1.77,2.19,2.12
E0,28/04/18,Huddersfield,Everton,,,,,,,2.62,3.1,3.1,2.6,3,3,2.6,3,2.95,2.5,3,3,2.63,3.1,3.15,2.62,3.1,2.9,2.6,3.1,3.13,42,2.64,2.56,3.14,3.02,3.25,3.09,38,2.66,2.52,1.57,1.52,20,-0.25,2.22,2.15,1.78,1.74
E0,28/04/18,Liverpool,Stoke,,,,,,,1.33,5.75,10,1.3,5.75,9.5,1.3,5.5,9.5,1.3,5.25,9,1.32,5.85,10.1,1.33,5,10,1.3,5.75,11,43,1.36,1.31,5.94,5.54,11,9.73,39,1.58,1.51,2.75,2.53,21,-1.5,1.9,1.87,2.05,2
E0,28/04/18,Newcastle,West Brom,,,,,,,1.85,3.6,4.75,1.8,3.5,4.75,1.8,3.6,4.5,1.86,3.3,4.33,1.93,3.47,4.69,1.91,3.4,4.5,1.87,3.5,4.8,43,1.94,1.86,3.6,3.47,5,4.58,40,2.28,2.15,1.77,1.7,20,-0.75,2.24,2.12,1.82,1.76
E0,28/04/18,Southampton,Bournemouth,,,,,,,1.72,4,5,1.72,3.75,5,1.7,3.7,5,1.7,3.8,4.75,1.71,4.11,5.15,1.73,3.75,5,1.7,4,5.2,43,1.77,1.71,4.13,3.9,5.2,4.88,40,1.78,1.73,2.2,2.12,21,-0.75,1.95,1.89,2.01,1.97
E0,28/04/18,Swansea,Chelsea,,,,,,,7,4.33,1.53,7,4.2,1.5,6.2,4,1.55,7,4.2,1.5,7.49,4.5,1.51,7,4,1.53,7.5,4.33,1.5,43,7.6,6.97,4.54,4.23,1.55,1.5,42,2.05,1.93,1.99,1.88,22,1,2.12,2.05,1.85,1.82
E0,29/04/18,Man United,Arsenal,,,,,,,1.44,4.75,8,1.44,4.5,7.5,1.5,4.2,6.5,1.4,4.5,7.5,1.45,4.83,8.14,1.44,4.33,8,1.4,4.8,8.5,43,1.5,1.44,5,4.64,8.5,7.64,39,1.69,1.64,2.39,2.24,21,-1.25,1.99,1.93,1.97,1.92
E0,29/04/18,West Ham,Man City,,,,,,,10,5.75,1.33,9.25,5.25,1.33,7.5,4.8,1.4,10,5.25,1.3,11.03,5.72,1.32,11,5,1.33,10.5,5.5,1.33,43,11.04,9.79,5.88,5.44,1.4,1.32,39,1.56,1.51,2.67,2.53,21,1.5,2.06,2,1.91,1.87
E0,30/04/18,Tottenham,Watford,,,,,,,1.16,8.5,21,1.16,7.5,17,1.17,7.5,15,1.15,7.5,19,1.16,8.65,21,1.17,7,21,1.14,9,22,41,1.18,1.15,9.15,8.03,23.8,18.87,35,1.47,1.43,3,2.78,19,-2.25,2.04,1.96,1.93,1.88
E1,27/04/18,Fulham,Sunderland,,,,,,,1.18,8.5,17,1.19,7.5,13.5,1.18,6.6,12.5,1.2,7,15,1.19,8.15,16.5,1.2,6,11,1.2,8,15,39,1.2,1.18,8.6,7.36,17,13.74,34,1.43,1.38,3.1,2.95,20,-2,1.99,1.92,2,1.92
E1,28/04/18,Aston Villa,Derby,,,,,,,1.9,3.6,4.5,1.9,3.6,3.8,1.8,3.45,4.25,1.83,3.5,4.33,1.85,3.65,4.78,1.95,3.2,4.2,1.91,3.6,4.5,41,1.95,1.86,3.67,3.51,4.78,4.23,40,2.05,1.98,1.88,1.8,19,-0.5,1.9,1.85,2.06,2
E1,28/04/18,Barnsley,Brentford,,,,,,,4,3.75,1.95,3.5,3.7,1.95,3.6,3.75,1.87,3.6,3.8,1.9,4.02,3.75,1.94,3.5,4,1.91,3.75,4,1.95,40,4.1,3.7,4,3.76,1.97,1.91,36,1.55,1.5,2.71,2.51,17,0.5,2,1.93,1.96,1.92
E1,28/04/18,Burton,Bolton,,,,,,,2.5,3.39,3,2.35,3.25,3,2.4,3.15,2.9,2.4,3.2,2.9,2.55,3.28,3.05,2.4,3.1,3.1,2.5,3.4,3,41,2.55,2.41,3.4,3.24,3.15,2.97,38,2.12,2.04,1.83,1.75,18,-0.25,2.17,2.08,1.82,1.78
E1,28/04/18,Hull,Cardiff,,,,,,,3.25,3.75,2.2,3.3,3.3,2.15,3.05,3.5,2.15,3,3.5,2.25,3.21,3.75,2.24,3.2,3.2,2.25,3.25,3.75,2.2,41,3.3,3.13,3.75,3.55,2.25,2.19,36,1.74,1.68,2.2,2.14,19,0.25,1.99,1.94,1.95,1.91
