Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Primera Division,27/04/18,23:00,Chacarita Juniors,Temperley,2.1,3.38,3.96,2.12,3.4,4,2.06,3.21,3.72
Argentina,Primera Division,28/04/18,01:15,Godoy Cruz,San Martin S.J.,1.55,4.25,6.92,1.57,4.26,7,1.52,3.97,6.44
Argentina,Primera Division,28/04/18,17:15,Defensa y Justicia,Rosario Central,1.89,3.65,4.5,1.93,3.65,4.5,1.85,3.48,4.12
Argentina,Primera Division,28/04/18,17:15,Velez Sarsfield,Banfield,2.04,3.4,4.17,2.07,3.4,4.4,1.96,3.25,3.95
Argentina,Primera Division,28/04/18,19:30,Newells Old Boys,Independiente,3.17,3.25,2.49,3.39,3.25,2.52,3.04,3.1,2.4
Argentina,Primera Division,28/04/18,21:45,Lanus,Argentinos Jrs,2.9,3.21,2.72,3,3.21,2.77,2.77,3.04,2.63
Argentina,Primera Division,29/04/18,00:00,Huracan,Atl. Tucuman,1.55,4.01,7.72,1.6,4.01,7.72,1.53,3.76,6.85
Argentina,Primera Division,29/04/18,15:00,Gimnasia L.P.,Boca Juniors,6.53,3.72,1.66,6.6,3.78,1.7,5.8,3.57,1.63
Argentina,Primera Division,29/04/18,17:15,Patronato,San Lorenzo,3.94,3.38,2.1,4.33,3.4,2.11,3.85,3.21,2.01
Argentina,Primera Division,29/04/18,19:30,Belgrano,Colon Santa FE,2.18,3.35,3.73,2.21,3.35,3.8,2.1,3.2,3.57
Argentina,Primera Division,30/04/18,00:00,Racing Club,Arsenal Sarandi,1.3,5.68,12.09,1.31,5.8,15,1.26,5.26,11.76
Argentina,Primera Division,30/04/18,23:00,Union de Santa Fe,Talleres Cordoba,2.47,3.26,3.2,2.49,3.26,3.3,2.37,3.1,3.05
Argentina,Primera Division,01/05/18,01:15,Olimpo Bahia Blanca,Tigre,4.06,3.47,2.03,4.33,3.52,2.1,3.82,3.26,1.98
Austria,Bundesliga,28/04/18,15:00,Austria Vienna,Mattersburg,2.07,3.78,3.54,2.13,3.82,3.75,2.04,3.54,3.38
Austria,Bundesliga,28/04/18,17:30,Admira,AC Wolfsberger,2.45,3.52,2.96,2.49,3.6,3.05,2.4,3.35,2.83
Austria,Bundesliga,28/04/18,17:30,Altach,LASK Linz,4.22,3.67,1.93,4.25,3.68,2,4.01,3.46,1.87
Austria,Bundesliga,29/04/18,15:30,Sturm Graz,Rapid Vienna,2.91,3.45,2.54,3,3.6,2.65,2.79,3.32,2.43
Austria,Bundesliga,29/04/18,18:00,St. Polten,Salzburg,7.99,5.15,1.41,8,5.15,1.44,7,4.74,1.39
Brazil,Serie A,28/04/18,20:00,Botafogo RJ,Gremio,2.4,3.23,3.34,2.45,3.23,3.34,2.35,3.04,3.17
Brazil,Serie A,29/04/18,20:00,Atletico-MG,Corinthians,2.2,3.34,3.7,2.23,3.34,3.7,2.15,3.22,3.43
