"","FTHGf1","FTHGf2","FTHGf3","FTHGf4","FTHGf5","FTHGf6","FTHGf7","FTHGf8","FTHGa1","FTHGa2","FTHGa3","FTHGa4","FTHGa5","FTHGa6","FTHGa7","FTHGa8","FTAGf1","FTAGf2","FTAGf3","FTAGf4","FTAGf5","FTAGf6","FTAGf7","FTAGf8","FTAGa1","FTAGa2","FTAGa3","FTAGa4","FTAGa5","FTAGa6","FTAGa7","FTAGa8","HSf1","HSf2","HSf3","HSf4","HSf5","HSf6","HSf7","HSf8","HSa1","HSa2","HSa3","HSa4","HSa5","HSa6","HSa7","HSa8","ASf1","ASf2","ASf3","ASf4","ASf5","ASf6","ASf7","ASf8","ASa1","ASa2","ASa3","ASa4","ASa5","ASa6","ASa7","ASa8","HSTf1","HSTf2","HSTf3","HSTf4","HSTf5","HSTf6","HSTf7","HSTf8","HSTa1","HSTa2","HSTa3","HSTa4","HSTa5","HSTa6","HSTa7","HSTa8","ASTf1","ASTf2","ASTf3","ASTf4","ASTf5","ASTf6","ASTf7","ASTf8","ASTa1","ASTa2","ASTa3","ASTa4","ASTa5","ASTa6","ASTa7","ASTa8","HCf1","HCf2","HCf3","HCf4","HCf5","HCf6","HCf7","HCf8","HCa1","HCa2","HCa3","HCa4","HCa5","HCa6","HCa7","HCa8","ACf1","ACf2","ACf3","ACf4","ACf5","ACf6","ACf7","ACf8","ACa1","ACa2","ACa3","ACa4","ACa5","ACa6","ACa7","ACa8","Y"
"1",1,1.8,1.96,1.192,1.0384,1.00768,2.601536,2.1203072,0,0.8,2.56,2.912,1.3824,1.07648,1.015296,1.0030592,1,1.8,1.96,1.192,1.0384,1.00768,2.601536,2.1203072,0,0.8,2.56,2.912,1.3824,1.07648,1.015296,1.0030592,12,12,12.8,17.76,11.552,7.9104,12.78208,16.956416,13,9,13.8,9.16,7.432,9.4864,11.49728,12.699456,12,12,12.8,17.76,11.552,7.9104,12.78208,16.956416,13,9,13.8,9.16,7.432,9.4864,11.49728,12.699456,4,4.8,4.96,6.592,2.9184,2.18368,3.636736,5.5273472,5,2.6,6.12,4.424,3.2848,3.05696,6.211392,4.4422784,4,4.8,4.96,6.592,2.9184,2.18368,3.636736,5.5273472,5,2.6,6.12,4.424,3.2848,3.05696,6.211392,4.4422784,4,7.2,7.04,13.408,6.6816,4.53632,5.707264,6.7414528,7,7,3.8,1.56,5.112,2.6224,3.72448,3.944896,5,7.4,7.08,7.816,9.5632,10.71264,7.742528,8.7485056,3,1.4,4.28,3.256,1.4512,3.49024,6.298048,3.6596096,7
"2",3,2.2,2.04,1.208,0.2416,3.24832,1.449664,1.0899328,0,0.8,0.16,1.632,1.1264,0.22528,2.445056,2.0890112,3,2.2,2.04,1.208,0.2416,3.24832,1.449664,1.0899328,0,0.8,0.16,1.632,1.1264,0.22528,2.445056,2.0890112,9,11.4,11.88,7.976,9.5952,10.71904,11.743808,15.9487616,10,12.4,14.48,13.296,16.2592,16.05184,14.410368,13.2820736,9,11.4,11.88,7.976,9.5952,10.71904,11.743808,15.9487616,10,12.4,14.48,13.296,16.2592,16.05184,14.410368,13.2820736,6,3.6,3.92,3.184,3.0368,5.40736,6.681472,3.7362944,3,4.6,1.72,3.544,4.7088,4.94176,4.188352,6.4376704,6,3.6,3.92,3.184,3.0368,5.40736,6.681472,3.7362944,3,4.6,1.72,3.544,4.7088,4.94176,4.188352,6.4376704,2,2.8,6.16,6.832,4.5664,5.71328,4.342656,5.6685312,4,5.6,5.12,4.224,4.0448,8.00896,6.401792,2.8803584,7,5.4,9.88,3.576,3.9152,5.58304,13.116608,5.8233216,3,4.6,2.52,6.104,9.2208,4.24416,1.648832,5.9297664,13
"3",1,2.6,1.32,1.064,1.0128,1.80256,1.960512,1.1921024,2,2,2,2,0.4,0.88,0.976,2.5952,1,2.6,1.32,1.064,1.0128,1.80256,1.960512,1.1921024,2,2,2,2,0.4,0.88,0.976,2.5952,13,13,14.6,9.32,15.464,18.2928,7.65856,8.731712,21,13.8,13.16,8.232,9.6464,16.32928,16.865856,16.9731712,13,13,14.6,9.32,15.464,18.2928,7.65856,8.731712,21,13.8,13.16,8.232,9.6464,16.32928,16.865856,16.9731712,3,3.8,4.76,1.752,4.3504,4.87008,3.374016,3.0748032,6,5.2,5.04,5.808,3.5616,7.11232,4.622464,6.5244928,3,3.8,4.76,1.752,4.3504,4.87008,3.374016,3.0748032,6,5.2,5.04,5.808,3.5616,7.11232,4.622464,6.5244928,0,4,3.2,6.24,4.448,5.6896,2.73792,2.947584,11,5.4,5.08,2.616,3.7232,6.34464,4.468928,5.6937856,4,6.4,6.88,4.576,8.1152,7.22304,7.044608,6.2089216,2,6.8,4.56,1.712,2.7424,2.14848,6.029696,5.2059392,13
"4",0,0,0.8,3.36,0.672,1.7344,1.94688,1.989376,3,1.4,0.28,0.856,1.7712,1.95424,1.190848,1.0381696,0,0,0.8,3.36,0.672,1.7344,1.94688,1.989376,3,1.4,0.28,0.856,1.7712,1.95424,1.190848,1.0381696,7,7,5.4,12.28,9.656,9.1312,10.62624,12.525248,15,11,17.4,13.08,12.216,12.0432,14.40864,16.481728,7,7,5.4,12.28,9.656,9.1312,10.62624,12.525248,15,11,17.4,13.08,12.216,12.0432,14.40864,16.481728,1,1.8,1.96,6.792,2.1584,2.83168,3.766336,6.3532672,8,4.8,4.96,2.592,5.3184,4.26368,4.852736,3.3705472,1,1.8,1.96,6.792,2.1584,2.83168,3.766336,6.3532672,8,4.8,4.96,2.592,5.3184,4.26368,4.852736,3.3705472,3,3,3.8,4.76,4.952,5.7904,1.95808,1.991616,5,3.4,6.28,2.856,2.9712,4.59424,12.918848,7.3837696,4,4,7.2,2.24,1.248,5.0496,6.60992,5.321984,2,4.4,8.08,8.816,9.7632,9.95264,6.790528,6.1581056,14
"5",2,1.2,1.84,1.168,0.2336,0.04672,4.809344,1.7618688,3,1.4,1.88,1.976,5.9952,4.39904,3.279808,1.4559616,2,1.2,1.84,1.168,0.2336,0.04672,4.809344,1.7618688,3,1.4,1.88,1.976,5.9952,4.39904,3.279808,1.4559616,12,23.2,13.44,15.488,8.6976,14.53952,15.707904,12.7415808,27,14.2,20.44,12.888,21.7776,13.15552,12.231104,10.4462208,12,23.2,13.44,15.488,8.6976,14.53952,15.707904,12.7415808,27,14.2,20.44,12.888,21.7776,13.15552,12.231104,10.4462208,6,7.6,6.32,5.264,2.6528,4.53056,8.906112,5.7812224,6,2.8,6.96,5.392,10.6784,6.93568,6.187136,5.2374272,6,7.6,6.32,5.264,2.6528,4.53056,8.906112,5.7812224,6,2.8,6.96,5.392,10.6784,6.93568,6.187136,5.2374272,6,5.2,2.64,2.128,3.6256,7.92512,7.985024,6.3970048,9,4.2,9.64,7.528,7.9056,6.38112,4.476224,4.8952448,11,4.6,3.32,2.264,4.4528,4.09056,5.618112,5.1236224,0,3.2,6.24,5.248,5.8496,9.96992,7.593984,5.5187968,6
"6",2,2,0.4,1.68,0.336,0.8672,0.97344,0.994688,3,1.4,1.88,1.176,0.2352,0.84704,1.769408,1.1538816,2,2,0.4,1.68,0.336,0.8672,0.97344,0.994688,3,1.4,1.88,1.176,0.2352,0.84704,1.769408,1.1538816,14,10.8,14.16,11.632,7.9264,9.58528,15.517056,11.1034112,14,7.6,11.12,9.424,9.8848,7.57696,5.515392,10.7030784,14,10.8,14.16,11.632,7.9264,9.58528,15.517056,11.1034112,14,7.6,11.12,9.424,9.8848,7.57696,5.515392,10.7030784,6,4.4,1.68,2.736,2.1472,2.82944,3.765888,4.7531776,7,3,3.8,2.36,2.872,2.1744,2.83488,4.566976,6,4.4,1.68,2.736,2.1472,2.82944,3.765888,4.7531776,7,3,3.8,2.36,2.872,2.1744,2.83488,4.566976,6,5.2,5.04,1.008,1.8016,1.96032,3.592064,4.7184128,6,5.2,6.64,5.328,3.4656,3.89312,2.378624,5.2757248,5,3.4,4.68,1.736,2.7472,0.54944,4.109888,3.2219776,7,5.4,3.48,12.696,6.5392,4.50784,4.901568,8.1803136,8
"7",2,2,2.8,4.56,3.312,2.2624,2.85248,0.570496,1,0.2,0.84,0.168,0.8336,0.16672,0.833344,1.7666688,2,2,2.8,4.56,3.312,2.2624,2.85248,0.570496,1,0.2,0.84,0.168,0.8336,0.16672,0.833344,1.7666688,20,14.4,11.68,19.136,22.2272,20.44544,16.889088,14.5778176,16,10.4,10.88,9.376,8.2752,6.45504,10.091008,14.0182016,20,14.4,11.68,19.136,22.2272,20.44544,16.889088,14.5778176,16,10.4,10.88,9.376,8.2752,6.45504,10.091008,14.0182016,5,3.4,5.48,9.896,10.7792,10.15584,9.231168,6.6462336,5,2.6,2.12,2.824,1.3648,1.07296,4.214592,4.0429184,5,3.4,5.48,9.896,10.7792,10.15584,9.231168,6.6462336,5,2.6,2.12,2.824,1.3648,1.07296,4.214592,4.0429184,2,1.2,2.64,1.328,8.2656,4.85312,3.370624,7.0741248,4,7.2,8.64,4.928,4.1856,0.83712,5.767424,1.9534848,9,10.6,9.32,4.264,3.2528,3.05056,7.810112,5.5620224,6,4.4,7.28,7.856,8.7712,6.55424,5.310848,5.0621696,11
"8",3,2.2,3.64,2.328,0.4656,1.69312,2.738624,2.1477248,2,2,1.2,1.04,0.208,1.6416,5.12832,1.025664,3,2.2,3.64,2.328,0.4656,1.69312,2.738624,2.1477248,2,2,1.2,1.04,0.208,1.6416,5.12832,1.025664,16,16.8,16.16,13.632,10.7264,11.74528,11.949056,14.3898112,9,9.8,6.76,6.952,6.9904,8.59808,14.519616,14.1039232,16,16.8,16.16,13.632,10.7264,11.74528,11.949056,14.3898112,9,9.8,6.76,6.952,6.9904,8.59808,14.519616,14.1039232,5,5.8,8.36,4.872,3.3744,3.87488,5.574976,4.3149952,5,3.4,1.48,2.696,2.1392,2.82784,8.565568,6.5131136,5,5.8,8.36,4.872,3.3744,3.87488,5.574976,4.3149952,5,3.4,1.48,2.696,2.1392,2.82784,8.565568,6.5131136,7,4.6,6.52,4.504,3.3008,4.66016,4.132032,1.6264064,5,3.4,3.08,6.216,2.8432,5.36864,7.473728,7.8947456,7,4.6,4.92,8.184,6.4368,2.88736,4.577472,4.9154944,4,9.6,7.52,2.304,4.4608,6.49216,5.298432,4.2596864,12
"9",2,1.2,1.04,1.008,5.8016,1.96032,1.192064,0.2384128,2,2,3.6,2.32,0.464,1.6928,2.73856,2.147712,2,1.2,1.04,1.008,5.8016,1.96032,1.192064,0.2384128,2,2,3.6,2.32,0.464,1.6928,2.73856,2.147712,10,12.4,7.28,8.656,20.9312,18.58624,12.517248,13.7034496,16,12.8,15.36,11.872,7.9744,16.79488,16.158976,16.8317952,10,12.4,7.28,8.656,20.9312,18.58624,12.517248,13.7034496,16,12.8,15.36,11.872,7.9744,16.79488,16.158976,16.8317952,6,5.2,1.84,1.968,9.9936,8.39872,5.679744,5.1359488,5,3.4,7.88,3.976,2.3952,4.47904,8.095808,6.4191616,6,5.2,1.84,1.968,9.9936,8.39872,5.679744,5.1359488,5,3.4,7.88,3.976,2.3952,4.47904,8.095808,6.4191616,3,5.4,3.48,4.696,7.3392,7.06784,7.013568,4.6027136,7,3.8,6.36,1.272,3.4544,5.49088,3.498176,4.6996352,6,3.6,7.92,7.184,6.2368,9.24736,5.849472,5.9698944,6,3.6,3.12,2.224,4.4448,5.68896,8.337792,4.0675584,9
"10",0,2.4,0.48,0.896,1.7792,0.35584,0.071168,0.0142336,0,0,1.6,1.92,1.184,0.2368,0.04736,1.609472,0,2.4,0.48,0.896,1.7792,0.35584,0.071168,0.0142336,0,0,1.6,1.92,1.184,0.2368,0.04736,1.609472,11,14.2,10.04,13.208,12.2416,19.24832,15.049664,19.0099328,16,8.8,12.16,8.032,10.4064,8.48128,12.096256,11.2192512,11,14.2,10.04,13.208,12.2416,19.24832,15.049664,19.0099328,16,8.8,12.16,8.032,10.4064,8.48128,12.096256,11.2192512,1,6.6,2.92,3.784,5.5568,4.31136,6.462272,3.6924544,3,1.4,2.68,3.736,3.1472,2.22944,2.845888,2.1691776,1,6.6,2.92,3.784,5.5568,4.31136,6.462272,3.6924544,3,1.4,2.68,3.736,3.1472,2.22944,2.845888,2.1691776,2,4.4,7.28,7.056,7.8112,9.56224,10.712448,7.7424896,5,3.4,1.48,4.296,3.2592,1.45184,3.490368,6.2980736,6,1.2,4.24,3.248,6.2496,4.44992,5.689984,2.7379968,7,10.2,5.24,5.048,2.6096,3.72192,6.344384,4.4688768,5
