"","mean","var"
"X.3",16682.7702168608,11120.6891348754
"FTHG",1.48606385538028,1.25999712627706
"FTAG",1.16878028662749,1.1246256214569
"HTHG",NA,NA
"HTAG",NA,NA
"HS",12.9469704780562,5.01009832399523
"AS",10.5498161322473,4.38709850200579
"HST",5.02732240437158,2.68497227482848
"AST",4.09540502457298,2.3930315648812
"HF",NA,NA
"AF",NA,NA
"HC",5.7889473141561,2.95426673922039
"AC",4.68989930233357,2.62145817070971
"HY",NA,NA
"AY",1.93397944805306,1.33583072335673
"HR",0.0858164071897446,0.297935132854502
"AR",0.117159844657525,0.346017151961513
"B365H",NA,NA
"B365D",NA,NA
"B365A",NA,NA
"BWH",NA,NA
"BWD",NA,NA
"BWA",NA,NA
"GBH",NA,NA
"GBD",NA,NA
"GBA",NA,NA
"IWH",NA,NA
"IWD",NA,NA
"IWA",NA,NA
"LBH",NA,NA
"LBD",NA,NA
"LBA",NA,NA
"SBH",NA,NA
"SBD",NA,NA
"SBA",NA,NA
"WHH",NA,NA
"WHD",NA,NA
"WHA",NA,NA
"SJH",NA,NA
"SJD",NA,NA
"SJA",NA,NA
"VCH",NA,NA
"VCD",NA,NA
"VCA",NA,NA
"BSH",NA,NA
"BSD",NA,NA
"BSA",NA,NA
"Bb1X2",41.272536687631,5.94122986133003
"BbMxH",2.71471732481012,1.8240928127796
"BbAvH",2.52904629343231,1.49351612386465
"BbMxD",3.93530913839915,1.30523214309066
"BbAvD",3.6515623603808,0.978662982685086
"BbMxA",4.62616386569062,4.30430682598526
"BbAvA",4.09002611953122,3.10651944457655
"BbOU",36.1417671924941,5.99401168244759
"BbMx.2.5",2.03605502285459,0.269634547384282
"BbAv.2.5",1.93974650307592,0.244514255488624
"BbMx.2.5.1",1.99870055332165,0.38685546092365
"BbAv.2.5.1",1.89905110492491,0.337624247794634
"BbAH",NA,NA
"BbAHh",NA,NA
"BbMxAHH",NA,NA
"BbAvAHH",NA,NA
"BbMxAHA",NA,NA
"BbAvAHA",NA,NA
"PSH",NA,NA
"PSD",NA,NA
"PSA",NA,NA
"PSCH",NA,NA
"PSCD",NA,NA
"PSCA",NA,NA
"HFKC",NA,NA
"AFKC",NA,NA
